id,procurement_type,package_name,coordinates
21050388,PENGADAAN_BARANG,Pek. Atap Ijuk tebal 45 cm,
21045035,PENGADAAN_BARANG,Belanja Langganan Jurnal/Surat Kabar/Majalah,
21753129,PENGADAAN_BARANG,Pekerjaan Penulangan Besi Ulir BjTS Cara mekanis,
21776781,PENGADAAN_BARANG,Beton K250 Ready Mix,
21771866,PENGADAAN_BARANG,Perbaikan Pasangan Batu Dengan Mortar,
21056243,PENGADAAN_BARANG,Laptop,
21029551,PENGADAAN_BARANG,Lampu Penerangan Jalan Tenaga Surya,
21751557,PENGADAAN_BARANG,Belanja Obat Anastesi Hewan Kemasan 50ml,
18486781,PEKERJAAN_KONSTRUKSI,Rehabilitasi Jaringan Irigasi Penginyahan,
21057708,PENGADAAN_BARANG,Golden Glove Indonesia Latex Examination Gloves  Powder Free,
21774064,PENGADAAN_BARANG,Lapis Pondasi Agregat Kelas A,
21065167,PENGADAAN_BARANG,"Paving Block Natural 20 x 20cm, T8cm, K.225",
18821104,PENGADAAN_BARANG,"Cold Rooms for Body,CEACA14",
21764877,PEKERJAAN_KONSTRUKSI,Belanja Peralatan dan Mesin-Rambu-rambu-Rambu-rambu Lalu Lintas Darat-Rambu-Rambu Lalu Lintas Darat Lainnya,
18605148,PENGADAAN_BARANG,Lapis Pondasi Agregat Kelas A ( Terpasang ),
21759495,JASA_KONSULTANSI_BU_KONSTRUKSI,Perencanaan Teknik Jalan dan Jembatan pada Ruas Jalan Provinsi PAKSEBALI - SELAT,
18819010,PENGADAAN_BARANG,REF-KAMRT 200 Refill Reagen Sanitarian Kit/Paket Reagensia BMHP Surveilans Air Minum dan Pangan/Paket Reagensia Surveilans Kualitas Air Minum Rumah Tangga (KAMRT),
21061724,PENGADAAN_BARANG,Pek. Pas. U-Ditch uk. 80x80x120 cm K-350,
21030223,PENGADAAN_BARANG,Pek. Kayu Bungan Semanggen,
21038614,JASA_LAINNYA,Belanja Perjalanan Dinas Paket Meeting Dalam Kota (Fullboard Meeting) (FKLN) 2025,
18610398,PENGADAAN_BARANG,Belanja Pakaian Sipil Lengkap (PSL),
21749496,PENGADAAN_BARANG,Pek. Tulangan D 16 mm,
21041276,PENGADAAN_BARANG,Lapis Fondasi Agregat Kelas A,
18353489,PENGADAAN_BARANG,Campuran Beraspal Panas Laston Lapis Aus (AC-WCP) Terpasang,
21030619,PENGADAAN_BARANG,Metracide 1 liter,
19767171,PENGADAAN_BARANG,Belanja Modal Personal Computer  (Alat Praktik dan Peraga PAUD),
21050972,PENGADAAN_BARANG,"Beton Cycloop (60 % Beton, 40 % Batu Kali)",
21031197,PENGADAAN_BARANG,Pemasangan Guiding Block 30x30 T. 1.6 cm (Roman),
18678715,PENGADAAN_BARANG,Belanja Modal Alat Kantor Lainnya,
21031672,PENGADAAN_BARANG,Pembongkaran Beton,
21050080,PENGADAAN_BARANG,F HbA1C Test,
18484500,PENGADAAN_BARANG,Z Vent MRI,
18012862,PENGADAAN_BARANG,Automated Immunoassay System HISCL-800 and Accessories include Peripherals,
18821475,JASA_LAINNYA,Belanja Barang dan Jasa BLUD berupa Belanja Pemeliharaan Alat Non Medis,
21063230,PEKERJAAN_KONSTRUKSI,Peningkatan Jalan Lingkungan di Kelurahan Peguyangan,
18365843,PENGADAAN_BARANG,"Penyediaan Unit Pracetak Gelagar Type I Bentang 14,6 m",
18348326,PENGADAAN_BARANG,Pekerjaan Pasangan Batu Terpasang,
21055466,PEKERJAAN_KONSTRUKSI,Peningkatan Jalan Lingkungan di Desa Sanur Kauh,
19763765,PENGADAAN_BARANG,"Pek. Perbaikan Lapis Fondasi Agregat Kelas A, Terpasang",
21065732,PENGADAAN_BARANG,Pekerjaan Perkuatan Pondasi dengan cerucuk bambu Q 8 - 10 cm,
18687105,PENGADAAN_BARANG,Laston Lapis Aus (AC-WC),
18687157,PENGADAAN_BARANG,Laston Lapis Aus (AC-WC),
21044992,PENGADAAN_BARANG,PEK. BETON FC 20 Mpa,
18350984,PENGADAAN_BARANG,"Belanja Bahan-Bahan Lainnya, Strip Gula darah,Pengadaan Obat, Bahan Habis Pakai, Bahan Medis Habis Pakai,, Vaksin, Makanan dan Minuman di Fasilitas Kesehatan, Dinkes",
21040589,PENGADAAN_BARANG,"Beton, fc 10 Mpa",
21035014,PENGADAAN_BARANG,Perkerasan Blok Beton pada Trotoar Dengan Spesi (Full Warna Mrah 20x20x6 cm) K.225,
21778776,PENGADAAN_BARANG,Pembesian Ulir,
21051555,PENGADAAN_BARANG,Pekerjaan Pembesian Sloof,
21769515,PENGADAAN_BARANG,Laston Lapis Aus (AC-WC),
21760054,PENGADAAN_BARANG,Plat Penutup Tipe 100 precast (K350) Gandar 10 Ton,
21039521,PEKERJAAN_KONSTRUKSI,Peningkatan Jalan Lingkungan di Kelurahan Penatih,
18681438,PENGADAAN_BARANG,Fiber Optik Internasional 70 Mbps Dedicated,
21050260,PENGADAAN_BARANG,Belanja Bahan-Bahan Bakar Dan Pelumas,
18601749,PENGADAAN_BARANG,Pasangan Batu ( Terpasang ),
19756789,PENGADAAN_BARANG,"D. Pekerjaan Pasangan Batu, Terpasang",
21049287,PENGADAAN_BARANG,Pekerjaan Pembesian,
21054192,PENGADAAN_BARANG,Lapis Fondasi Bawah Beton Kurus (Concrete Vibrator),
21759060,JASA_KONSULTANSI_BU_KONSTRUKSI,Pengawasan Teknik Rekonstruksi Jalan pada Ruas jalan Provinsi Bts. Kota Amlapura - Seraya - Culik,
21762295,PENGADAAN_BARANG,Banten Piodalan Saraswati,
18487041,PEKERJAAN_KONSTRUKSI,Rehabilitasi Jaringan Irigasi Tirta Petak,
18343459,PENGADAAN_BARANG,Pekerjaan Beton fc 15 Mpa Terpasang,
21773743,JASA_LAINNYA,Belanja Sewa Alat Kantor Lainnya,
18821016,PEKERJAAN_KONSTRUKSI,Rehabilitasi Ruang Kelas SD N 3 Batukandik,
18339991,PENGADAAN_BARANG,Belanja Modal Laptop,
21059896,PENGADAAN_BARANG,Beton  fc 15 Mpa,
18489546,PENGADAAN_BARANG,Belanja Modal Alat Kantor Lainnya,
21780547,JASA_KONSULTANSI_BU_KONSTRUKSI,Pengawasan Teknik Peningkatan Jalan pada Ruas Jalan Provinsi RENDANG - BTS. KOTA AMLAPURA,
19758417,PENGADAAN_BARANG,Operating Table Electric Smart - YOT-318,
21780176,JASA_KONSULTANSI_BU_KONSTRUKSI,Pengawasan Teknik Pelebaran Jalan pada Ruas Jalan Provinsi Wanagiri - Munduk - Mayong,
18488709,PEKERJAAN_KONSTRUKSI,Perbaikan/Pembangunan Dinding Penahan Tanah (DPT)Setra  Desa Petak Kaja,
18685095,PENGADAAN_BARANG,"Pengadaan Mebel SDN 2 Duda Timur, 2 Wismakerta, 2 Duda, 1 Abang, 1 Wismakerta, 2 Tri Buana, 1 Pertima, 3 Menanga, 2 Pesaban, 4 Peringsari",
21064219,PENGADAAN_BARANG,"Perkerasan Blok Beton pada Trotoar dan Median (Full warna Merah 20x20x6 cm), K.225",
19762805,PENGADAAN_BARANG,Belanja Modal Alat Kedokteran Umum,
18486445,JASA_LAINNYA,Belanja Jasa yang Diberikan kepada Pihak Ketiga/Pihak Lain/Masyarakat,
21031271,PEKERJAAN_KONSTRUKSI,Perbaikan Saluran Irigasi Subak Lungatad (Pemulihan Infrastruktur Akibat Bencana Banjir),
21036130,PENGADAAN_BARANG,Pura Tambang Badung,
21040287,PENGADAAN_BARANG,"Banten Karya Memungkah, Ngenteg Linggih, Padudusan Agung, Manawa Ratna",
21040402,PENGADAAN_BARANG,"Banjar Gunung, Desa Adat Pemogan, Denpasar Selatan",
21043133,PENGADAAN_BARANG,Upakarya Karya Ngenteg Linggih Wreshpati Kalpa Agung Caru Panca Rupa Panca Kelud,
21056761,PEKERJAAN_KONSTRUKSI,Perbaikan sarana dan Prasarana dan Senderan Jalan Pulau Biak di Desa Pemecutan Kelod (Pemulihan Infrastruktur Akibat Bencana Banjir),
21060113,PENGADAAN_BARANG,Belanja Modal Mesin Proses,
21062567,PENGADAAN_BARANG,Pura Dalem Kahyangan Umadui,
21037774,PENGADAAN_BARANG,Belanja Modal Personal Computer Berupa Komputer/PC,
21048128,PENGADAAN_BARANG,Pas. Cover Udith (CU) 50.12.120 cm,
18491016,PENGADAAN_BARANG,Belanja Modal Personal Komputer,
18677857,PEKERJAAN_KONSTRUKSI,Belanja Modal Jaringan Listrik Lainnya/Pengadaan LPJU-Belanja Modal Jaringan Listrik Lainnya,
18680596,PENGADAAN_BARANG,Perbaikan Campuran Aspal Panas,
19769187,PENGADAAN_BARANG,1 M1 Saluran U-Ditch 40x60x120 cm+ tutup  dengan lantai kerja fc 10 Mpa,
19759580,PENGADAAN_BARANG,Sub Fasilitasi Pengelolaan Bina Mental Spiritual-Bagian Kesra-Belanja Menawa Ratna,
18482807,PENGADAAN_BARANG,Excavator Mini,
18610729,JASA_LAINNYA,Belanja Modal Aset Tidak Berwujud-Software BIDANG PBB P2 DAN BPHTB,
21754127,PENGADAAN_BARANG,Motorola XiR P8668i VHF 136-174 MHz,
18481514,PENGADAAN_BARANG,Belanja Modal Personal Komputer,
21059181,PENGADAAN_BARANG,Belanja Modal Alat Angkutan Darat Bermotor Lainnya,
18491517,PENGADAAN_BARANG,Belanja Modal Kendaraan Bermotor Khusus,
19765254,PENGADAAN_BARANG,"Moxifloxacin hydrochloride (HCl)/ Moxifloxacin/ Moksifloksasin infus 1,6 mg/mL (400mg/250ml)",
21775327,PENGADAAN_BARANG,Belanja Modal Mebel,
18489361,PENGADAAN_BARANG,Lapis Pondasi Agregat Kelas A,
21753270,JASA_KONSULTANSI_BU_KONSTRUKSI,Pengawasan Penataan Area Parahyangan di Kawasan Suci Besakih Kabupaten Karangasem Tahap I,
18600291,PENGADAAN_BARANG,Beton fc 15 Mpa ( Terpasang ),
21751511,PENGADAAN_BARANG,Kursi Pimpinan 2-001-0516-24,
21754119,PEKERJAAN_KONSTRUKSI,Pembangunan Garasi Truk Operasional,
